web_scraper_order,web_scraper_start_url,link_pages,link_listings,area_m2_raw,rooms_raw,rent_chf_raw,year_built_raw,address_raw
"1764444027-1","https://www.homegate.ch/rent/real-estate/canton-bern/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true&ep=10","https://www.homegate.ch/rent/real-estate/canton-bern/matching-list?ep=46&bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002726512","133 m2","3.5","3,150.–","2025","3652 Hilterfingen"
"1764444029-2","https://www.homegate.ch/rent/real-estate/canton-bern/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true&ep=10","https://www.homegate.ch/rent/real-estate/canton-bern/matching-list?ep=46&bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002669678","","3.5","1,290.–","1972","Unterdorfstrasse 25a, 3427 Utzenstorf"
"1764444032-3","https://www.homegate.ch/rent/real-estate/canton-bern/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true&ep=10","https://www.homegate.ch/rent/real-estate/canton-bern/matching-list?ep=46&bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4001829214","67 m2","2.5","1,690.–","1966","Lindenhofstrasse 10, 3048 Worblaufen"
"1764444036-4","https://www.homegate.ch/rent/real-estate/canton-bern/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true&ep=10","https://www.homegate.ch/rent/real-estate/canton-bern/matching-list?ep=46&bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002194281","95 m2","3.5","1,950.–","2025","Bielstrasse 12, 3237 Brüttelen"
"1764444039-5","https://www.homegate.ch/rent/real-estate/canton-bern/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true&ep=10","https://www.homegate.ch/rent/real-estate/canton-bern/matching-list?ep=46&bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002194282","70 m2","2.5","1,600.–","2025","Bielstrasse 12, 3237 Brüttelen"
"1764444050-6","https://www.homegate.ch/rent/real-estate/canton-bern/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true&ep=10","https://www.homegate.ch/rent/real-estate/canton-bern/matching-list?ep=11&bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002504997","82 m2","3.5","1,750.–","2010","Schwadernauweg 28, 2504 Biel/Bienne"
"1764444053-7","https://www.homegate.ch/rent/real-estate/canton-bern/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true&ep=10","https://www.homegate.ch/rent/real-estate/canton-bern/matching-list?ep=11&bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002510385","70 m2","3","1,480.–","1961","Bözingenstr. 140, 2504 Biel/Bienne"
"1764444056-8","https://www.homegate.ch/rent/real-estate/canton-bern/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true&ep=10","https://www.homegate.ch/rent/real-estate/canton-bern/matching-list?ep=11&bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002518159","123 m2","5.5","2,410.–","2003","Längimoosstr. 5, 3075 Rüfenacht BE"
"1764444062-9","https://www.homegate.ch/rent/real-estate/canton-bern/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true&ep=10","https://www.homegate.ch/rent/real-estate/canton-bern/matching-list?ep=11&bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002523501","80 m2","4","1,450.–","1958","Rainstrasse 3, 2555 Brügg"
"1764444065-10","https://www.homegate.ch/rent/real-estate/canton-bern/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true&ep=10","https://www.homegate.ch/rent/real-estate/canton-bern/matching-list?ep=11&bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002524716","83 m2","3.5","1,660.–","1981","Sägetstr. 41, 3303 Jegenstorf"
