web_scraper_order,web_scraper_start_url,link_pages,link_listings,area_m2_raw,rooms_raw,rent_chf_raw,year_built_raw,address_raw
"1764443362-1","https://www.homegate.ch/rent/real-estate/region-lucernecity/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true&ep=40","https://www.homegate.ch/rent/real-estate/region-lucernecity/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002671364","71 m2","3.5","2,040.–","1969","Schönbühlring 3, 6005 Luzern"
"1764443364-2","https://www.homegate.ch/rent/real-estate/region-lucernecity/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true&ep=40","https://www.homegate.ch/rent/real-estate/region-lucernecity/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002695026","76 m2","3.5","2,755.–","1963","Neustadtstr. 6, 6003 Luzern"
"1764443367-3","https://www.homegate.ch/rent/real-estate/region-lucernecity/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true&ep=40","https://www.homegate.ch/rent/real-estate/region-lucernecity/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002715662","68 m2","3.5","1,760.–","1960","Matthofring 19 21 23, 6005 Luzern"
"1764443371-4","https://www.homegate.ch/rent/real-estate/region-lucernecity/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true&ep=40","https://www.homegate.ch/rent/real-estate/region-lucernecity/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002732784","83 m2","3.5","2,198.–","2012","Zihlmattweg 44, 6005 Luzern"
"1764443375-5","https://www.homegate.ch/rent/real-estate/region-lucernecity/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true&ep=40","https://www.homegate.ch/rent/real-estate/region-lucernecity/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002279235","77 m2","3","2,170.–","2001","Winkelriedstr. 47, 6003 Luzern"
"1764443377-6","https://www.homegate.ch/rent/real-estate/region-lucernecity/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true&ep=40","https://www.homegate.ch/rent/real-estate/region-lucernecity/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002415456","149 m2","4.5","4,040.–","2011","Rösslimattstr. 4, 6005 Luzern"
"1764443380-7","https://www.homegate.ch/rent/real-estate/region-lucernecity/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true&ep=40","https://www.homegate.ch/rent/real-estate/region-lucernecity/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002544586","97 m2","4.5","2,400.–","1969","Obergütschrain 2, 6003 Luzern"
"1764443383-8","https://www.homegate.ch/rent/real-estate/region-lucernecity/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true&ep=40","https://www.homegate.ch/rent/real-estate/region-lucernecity/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002446044","102 m2","3.5","3,610.–","1979","Winkelriedstr. 25, 6003 Luzern"
"1764443386-9","https://www.homegate.ch/rent/real-estate/region-lucernecity/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true&ep=40","https://www.homegate.ch/rent/real-estate/region-lucernecity/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002706701","59 m2","2.5","1,610.–","1972","Winkelriedstr. 37, 6003 Luzern"
"1764443390-10","https://www.homegate.ch/rent/real-estate/region-lucernecity/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true&ep=40","https://www.homegate.ch/rent/real-estate/region-lucernecity/matching-list?bf=1900&bg=2025&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002734587","81 m2","4","2,045.–","1951","Schädrütistrasse 58, 6006 Luzern"
