web_scraper_order,web_scraper_start_url,link_pages,link_listings,area_m2_raw,rooms_raw,rent_chf_raw,year_built_raw,address_raw
"1764272670-1","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true&ep=40","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?ep=50&be=15000&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002496481","69 m2","3.5","2,340.–","","Kienastenwiesweg 31, 8053 Zürich"
"1764272673-2","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true&ep=40","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?ep=50&be=15000&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002504533","82 m2","3","2,520.–","","Kienastenwiesweg 31, 8053 Zürich"
"1764272676-3","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true&ep=40","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?ep=50&be=15000&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002530184","","3","3,790.–","","Zentralstrasse 25, 8003 Zürich"
"1764272678-4","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true&ep=40","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?ep=50&be=15000&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002530569","134 m2","5.5","2,530.–","1984","Kesslernmattstr. 14, 8965 Berikon"
"1764272681-5","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true&ep=40","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?ep=50&be=15000&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002542635","98 m2","3.5","2,255.–","1989","Im Spitzler 21, 8902 Urdorf"
"1764272684-6","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true&ep=40","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?ep=50&be=15000&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002551340","68 m2","3.5","1,945.–","1973","Ferdinand Hodler-Str. 14, 8049 Zürich"
"1764272687-7","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true&ep=40","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?ep=50&be=15000&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002567338","134 m2","5.5","5,590.–","1906","Weinbergstrasse 72, 8006 Zürich"
"1764272692-8","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true&ep=40","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?ep=50&be=15000&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002569703","89 m2","2.5","3,230.–","","Forchstr. 261, 8032 Zürich"
"1764272695-9","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true&ep=40","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?ep=50&be=15000&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002569711","89 m2","2.5","3,235.–","","Forchstr. 261, 8032 Zürich"
"1764272699-10","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true&ep=40","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?ep=50&be=15000&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002572292","94 m2","4.5","2,360.–","1971","Bahnhofstr. 73, 8957 Spreitenbach"
"1764272703-11","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true&ep=40","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?ep=50&be=15000&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002577652","68 m2","3.5","1,690.–","","Ahornstrasse 6, 5442 Fislisbach"
"1764272706-12","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true&ep=40","https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?ep=50&be=15000&ac=2.5&ad=5.5&ipd=true","https://www.homegate.ch/rent/4002580329","116 m2","3.5","6,650.–","","Hofwiesenstrasse 360, 8050 Zürich"
