"Stichtagdatjahr","DatenstandCd","HAArtLevel1Sort","HAArtLevel1Cd","HAArtLevel1Lang","HASTWESort","HASTWECd","HASTWELang","RaumSort","RaumCd","RaumLang","AnzZimmerLevel2Sort_noDM","AnzZimmerLevel2Cd_noDM","AnzZimmerLevel2Lang_noDM","AnzHA","HAPreisWohnflaeche","HAMedianPreis","HASumPreis"
2009,"D",1,"22","Kauf",1,"J","Ja",0,"0","Ganze Stadt",1,"1","1-Zimmer","31",8552,265000,11965926
2009,"D",1,"22","Kauf",1,"J","Ja",0,"0","Ganze Stadt",2,"2","2-Zimmer","89",7800,505000,54240051
2009,"D",1,"22","Kauf",1,"J","Ja",0,"0","Ganze Stadt",3,"3","3-Zimmer","143",7389,698550,116057305
2009,"D",1,"22","Kauf",1,"J","Ja",0,"0","Ganze Stadt",4,"4","4-Zimmer","208",7577,855750,203086012
2009,"D",1,"22","Kauf",1,"J","Ja",0,"0","Ganze Stadt",5,"5","5-Zimmer","83",9117,1312500,113148986
2009,"D",1,"22","Kauf",1,"J","Ja",0,"0","Ganze Stadt",6,"6","6-Zimmer und mehr","37",8015,1470810,71470813
2009,"D",1,"22","Kauf",1,"J","Ja",10,"1","Kreis 1",1,"1","1-Zimmer","2–6",50563,627500,1255000
2009,"D",1,"22","Kauf",1,"J","Ja",10,"1","Kreis 1",2,"2","2-Zimmer","6",13221,794000,4373000
2009,"D",1,"22","Kauf",1,"J","Ja",10,"1","Kreis 1",3,"3","3-Zimmer","1–3",15313,1470000,K
2009,"D",1,"22","Kauf",1,"J","Ja",10,"1","Kreis 1",4,"4","4-Zimmer","3",13303,1450000,3995074
2009,"D",1,"22","Kauf",1,"J","Ja",10,"1","Kreis 1",5,"5","5-Zimmer","3",4600,684930,2687426
2009,"D",1,"22","Kauf",1,"J","Ja",10,"1","Kreis 1",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",11,"011","Rathaus",1,"1","1-Zimmer","1–3",93000,930000,K
2009,"D",1,"22","Kauf",1,"J","Ja",11,"011","Rathaus",2,"2","2-Zimmer","3–5",13221,899000,3343000
2009,"D",1,"22","Kauf",1,"J","Ja",11,"011","Rathaus",3,"3","3-Zimmer","1–3",15313,1470000,K
2009,"D",1,"22","Kauf",1,"J","Ja",11,"011","Rathaus",4,"4","4-Zimmer","1–3",13993,1650000,K
2009,"D",1,"22","Kauf",1,"J","Ja",11,"011","Rathaus",5,"5","5-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",11,"011","Rathaus",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",12,"012","Hochschulen",1,"1","1-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",12,"012","Hochschulen",2,"2","2-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",12,"012","Hochschulen",3,"3","3-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",12,"012","Hochschulen",4,"4","4-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",12,"012","Hochschulen",5,"5","5-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",12,"012","Hochschulen",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",13,"013","Lindenhof",1,"1","1-Zimmer","1–3",8125,325000,K
2009,"D",1,"22","Kauf",1,"J","Ja",13,"013","Lindenhof",2,"2","2-Zimmer","1–3",9573,515000,K
2009,"D",1,"22","Kauf",1,"J","Ja",13,"013","Lindenhof",3,"3","3-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",13,"013","Lindenhof",4,"4","4-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",13,"013","Lindenhof",5,"5","5-Zimmer","1–3",14504,1900000,K
2009,"D",1,"22","Kauf",1,"J","Ja",13,"013","Lindenhof",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",14,"014","City",1,"1","1-Zimmer","0",,,
