"Stichtagdatjahr","DatenstandCd","HAArtLevel1Sort","HAArtLevel1Cd","HAArtLevel1Lang","HASTWESort","HASTWECd","HASTWELang","BaualterSort_noDM","BaualterCd_noDM","BaualterLang_noDM","AnzZimmerLevel2Sort_noDM","AnzZimmerLevel2Cd_noDM","AnzZimmerLevel2Lang_noDM","AnzHA","HAPreisWohnflaeche","HAMedianPreis","HASumPreis"
2009,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",1,"1","1-Zimmer","1–3",6818,375000,K
2009,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",1,"1","1-Zimmer","1–3",17618,926090,K
2009,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",1,"1","1-Zimmer","1–3",8361,371180,K
2009,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",1,"1","1-Zimmer","1–3",9389,213060,K
2009,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",1,"1","1-Zimmer","24",8500,264100,8570281
2009,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",1,"1","1-Zimmer","31",8552,265000,11965926
2009,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",2,"2","2-Zimmer","18",11612,765000,14360614
2009,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",2,"2","2-Zimmer","8",12551,1173910,9327826
2009,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",2,"2","2-Zimmer","8",7566,450000,4365000
2009,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",2,"2","2-Zimmer","13",8561,505000,7215000
2009,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",2,"2","2-Zimmer","42",7143,384730,18971611
2009,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",2,"2","2-Zimmer","89",7800,505000,54240051
