"Stichtagdatjahr","DatenstandCd","HAArtLevel1Sort","HAArtLevel1Cd","HAArtLevel1Lang","HASTWESort","HASTWECd","HASTWELang","BaualterSort_noDM","BaualterCd_noDM","BaualterLang_noDM","AnzHA","HAPreisWohnflaeche","HAMedianPreis","HASumPreis"
2009,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)","220",7359,840000,225495262
2009,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre","39",10379,1147826,47280510
2009,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre","44",8793,840000,50185525
2009,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)","70",9479,1092500,78713833
2009,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)","218",7704,605000,168293964
2009,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total","591",7738,790000,569969093
2010,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)","382",7359,877000,353020281
2010,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre","49",10119,1265000,76439851
2010,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre","41",8119,767636,37653276
2010,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)","59",9937,1462000,87055813
2010,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)","211",8143,600000,174230139
2010,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total","742",7988,856500,728399360
2011,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)","218",7886,858538,216434025
2011,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre","48",10633,1327500,64264280
2011,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre","23",11333,850000,24626556
2011,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)","53",10692,1057500,62432275
2011,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)","225",8713,740000,211222855
2011,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total","567",8900,835000,578979991
2012,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)","184",10570,1335000,327128414
2012,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre","38",10120,1290000,59951881
2012,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre","30",9024,842500,26819000
2012,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)","28",12550,1237500,40054500
2012,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)","214",8846,726000,188160406
